序號,答案
20240117090001,258.89
20240117091001,321.92
20240117092001,365.75
20240117093001,672.06
20240117094001,326.31
20240117095001,194.32
20240117100001,405.38
20240117101001,327.2
20240117102001,415.68
20240117103001,845.92
20240117104001,1112.22
20240117105001,621.12
20240117110001,590.06
20240117111001,815.78
20240117112001,632.64
20240117113001,312.05
20240117114001,152.2
20240117115001,143.01
20240117120001,198.76
20240117121001,247.05
20240117122001,225.29
20240117123001,209.78
20240117124001,280.61
20240117125001,369.48
20240117130001,256.01
20240117131001,222.38
20240117132001,278.21
20240117133001,441.29
20240117134001,517.07
20240117135001,538.19
20240117140001,476.72
20240117141001,666.24
20240117142001,414.66
20240117143001,179.73
20240117144001,207.57
20240117145001,154.7
20240117150001,275.37
20240117151001,213.59
20240117152001,94.72
20240117153001,61.97
20240117154001,48.89
20240117155001,83.44
20240117160001,52.11
20240117161001,19.53
20240117162001,16.79
20240117163001,10.69
20240117164001,2.31
20240117165001,1.45
20240119090001,218.95
20240119091001,254.61
20240119092001,321.59
20240119093001,610.69
20240119094001,468.92
20240119095001,549.16
20240119100001,432.65
20240119101001,692.65
20240119102001,983.78
20240119103001,1690.48
20240119104001,1710.24
20240119105001,1549.7
20240119110001,1395.86
20240119111001,1554.26
20240119112001,1505.06
20240119113001,1686.9
20240119114001,1707.76
20240119115001,1522.88
20240119120001,1052.63
20240119121001,884.5
20240119122001,1020.4
20240119123001,1450.67
20240119124001,1490.19
20240119125001,1668.97
20240119130001,1564.9
20240119131001,1001.3
20240119132001,1479.66
20240119133001,1250.11
20240119134001,1076.48
20240119135001,789.36
20240119140001,1329.4
20240119141001,894.87
20240119142001,1313.82
20240119143001,839.56
20240119144001,754.94
20240119145001,373.65
20240119150001,189.58
20240119151001,168.56
20240119152001,108.17
20240119153001,87.08
20240119154001,89.95
20240119155001,86.84
20240119160001,58.18
20240119161001,39.96
20240119162001,21.02
20240119163001,12.41
20240119164001,9.24
20240119165001,9.32
20240224090001,57.09
20240224091001,65.96
20240224092001,50.9
20240224093001,30.8
20240224094001,22.6
20240224095001,39.04
20240224100001,38.61
20240224101001,45.99
20240224102001,33.21
20240224103001,33.34
20240224104001,27.22
20240224105001,30.33
20240224110001,41.46
20240224111001,47.18
20240224112001,44.89
20240224113001,46.56
20240224114001,47.86
20240224115001,45.5
20240224120001,29.58
20240224121001,32.52
20240224122001,25.51
20240224123001,27.59
20240224124001,30.33
20240224125001,34.03
20240224130001,28.34
20240224131001,20.78
20240224132001,18.93
20240224133001,22.77
20240224134001,30.68
20240224135001,29.12
20240224140001,21.38
20240224141001,17.91
20240224142001,11.56
20240224143001,7.32
20240224144001,8.04
20240224145001,5.97
20240224150001,4.29
20240224151001,3.32
20240224152001,0.79
20240224153001,0.21
20240224154001,0.09
20240224155001,1.51
20240224160001,0.26
20240224161001,0.0
20240224162001,0.0
20240224163001,0.0
20240224164001,0.0
20240224165001,0.0
20240226090001,30.55
20240226091001,42.1
20240226092001,45.52
20240226093001,45.02
20240226094001,47.31
20240226095001,53.19
20240226100001,44.01
20240226101001,49.88
20240226102001,58.08
20240226103001,68.57
20240226104001,73.85
20240226105001,89.59
20240226110001,103.35
20240226111001,91.61
20240226112001,76.09
20240226113001,45.52
20240226114001,42.76
20240226115001,37.3
20240226120001,36.96
20240226121001,27.93
20240226122001,23.87
20240226123001,33.13
20240226124001,39.12
20240226125001,35.51
20240226130001,40.05
20240226131001,52.23
20240226132001,54.75
20240226133001,50.1
20240226134001,51.24
20240226135001,33.75
20240226140001,22.84
20240226141001,16.64
20240226142001,17.66
20240226143001,18.15
20240226144001,16.82
20240226145001,13.87
20240226150001,11.24
20240226151001,10.29
20240226152001,9.31
20240226153001,9.51
20240226154001,8.6
20240226155001,9.38
20240226160001,4.9
20240226161001,3.93
20240226162001,1.7
20240226163001,0.63
20240226164001,0.07
20240226165001,0.01
20240327090001,107.6
20240327091001,101.0
20240327092001,105.34
20240327093001,165.72
20240327094001,271.44
20240327095001,421.24
20240327100001,475.45
20240327101001,557.65
20240327102001,678.77
20240327103001,560.17
20240327104001,919.08
20240327105001,945.8
20240327110001,735.52
20240327111001,626.64
20240327112001,440.89
20240327113001,348.56
20240327114001,264.08
20240327115001,220.62
20240327120001,231.63
20240327121001,212.67
20240327122001,229.11
20240327123001,226.19
20240327124001,212.33
20240327125001,194.28
20240327130001,194.16
20240327131001,133.2
20240327132001,82.82
20240327133001,67.59
20240327134001,46.93
20240327135001,28.01
20240327140001,16.53
20240327141001,14.78
20240327142001,15.18
20240327143001,27.37
20240327144001,23.58
20240327145001,24.32
20240327150001,14.38
20240327151001,7.62
20240327152001,8.81
20240327153001,9.66
20240327154001,11.61
20240327155001,10.99
20240327160001,11.19
20240327161001,8.92
20240327162001,8.51
20240327163001,8.13
20240327164001,5.27
20240327165001,2.21
20240329090001,17.13
20240329091001,14.47
20240329092001,11.0
20240329093001,8.93
20240329094001,8.58
20240329095001,8.45
20240329100001,6.29
20240329101001,6.03
20240329102001,4.14
20240329103001,6.24
20240329104001,4.91
20240329105001,8.51
20240329110001,9.94
20240329111001,7.97
20240329112001,5.3
20240329113001,5.72
20240329114001,9.05
20240329115001,17.46
20240329120001,25.55
20240329121001,35.47
20240329122001,28.99
20240329123001,13.8
20240329124001,12.79
20240329125001,18.19
20240329130001,19.39
20240329131001,18.63
20240329132001,16.65
20240329133001,14.14
20240329134001,23.73
20240329135001,22.64
20240329140001,16.67
20240329141001,18.2
20240329142001,20.66
20240329143001,24.66
20240329144001,24.86
20240329145001,20.23
20240329150001,23.47
20240329151001,20.7
20240329152001,13.57
20240329153001,9.99
20240329154001,7.98
20240329155001,6.94
20240329160001,3.49
20240329161001,1.09
20240329162001,0.25
20240329163001,0.0
20240329164001,0.0
20240329165001,0.0
20240428090001,267.56
20240428091001,549.8
20240428092001,157.03
20240428093001,31.48
20240428094001,19.88
20240428095001,18.33
20240428100001,30.16
20240428101001,109.25
20240428102001,450.17
20240428103001,490.04
20240428104001,1060.14
20240428105001,540.84
20240428110001,922.9
20240428111001,1103.93
20240428112001,1102.69
20240428113001,370.01
20240428114001,228.71
20240428115001,246.58
20240428120001,355.17
20240428121001,308.24
20240428122001,177.52
20240428123001,233.99
20240428124001,229.38
20240428125001,123.06
20240428130001,71.96
20240428131001,57.19
20240428132001,55.49
20240428133001,44.61
20240428134001,35.4
20240428135001,37.71
20240428140001,36.21
20240428141001,33.71
20240428142001,37.37
20240428143001,84.25
20240428144001,137.17
20240428145001,120.27
20240428150001,181.29
20240428151001,325.55
20240428152001,178.4
20240428153001,96.22
20240428154001,86.6
20240428155001,109.76
20240428160001,110.31
20240428161001,61.58
20240428162001,32.24
20240428163001,22.31
20240428164001,17.79
20240428165001,15.93
20240430090001,973.81
20240430091001,1046.03
20240430092001,1108.82
20240430093001,1181.97
20240430094001,1223.64
20240430095001,1234.31
20240430100001,1277.76
