序號,答案
20240117090001,39.09
20240117091001,157.13
20240117092001,194.84
20240117093001,1508.09
20240117094001,129.24
20240117095001,278.88
20240117100001,137.71
20240117101001,405.23
20240117102001,237.59
20240117103001,725.76
20240117104001,1818.64
20240117105001,1734.27
20240117110001,301.28
20240117111001,1300.17
20240117112001,447.21
20240117113001,732.54
20240117114001,176.73
20240117115001,112.48
20240117120001,167.9
20240117121001,255.67
20240117122001,264.7
20240117123001,240.49
20240117124001,236.23
20240117125001,382.97
20240117130001,285.09
20240117131001,206.16
20240117132001,271.76
20240117133001,570.11
20240117134001,680.79
20240117135001,577.02
20240117140001,407.46
20240117141001,889.44
20240117142001,695.88
20240117143001,252.03
20240117144001,355.39
20240117145001,149.62
20240117150001,228.72
20240117151001,373.4
20240117152001,140.19
20240117153001,77.76
20240117154001,58.64
20240117155001,49.17
20240117160001,61.19
20240117161001,27.02
20240117162001,18.35
20240117163001,16.71
20240117164001,3.02
20240117165001,1.23
20240119090001,190.23
20240119091001,260.36
20240119092001,274.07
20240119093001,560.61
20240119094001,336.26
20240119095001,627.39
20240119100001,361.45
20240119101001,377.9
20240119102001,533.94
20240119103001,1698.11
20240119104001,1664.38
20240119105001,1696.75
20240119110001,1171.66
20240119111001,1667.29
20240119112001,1378.45
20240119113001,1747.33
20240119114001,1682.78
20240119115001,1667.19
20240119120001,794.47
20240119121001,1337.19
20240119122001,783.15
20240119123001,1555.58
20240119124001,1793.28
20240119125001,1692.3
20240119130001,1713.7
20240119131001,1612.69
20240119132001,942.63
20240119133001,1691.12
20240119134001,1212.32
20240119135001,633.62
20240119140001,955.53
20240119141001,1099.42
20240119142001,1352.2
20240119143001,1338.97
20240119144001,670.11
20240119145001,474.58
20240119150001,248.91
20240119151001,197.06
20240119152001,153.92
20240119153001,80.54
20240119154001,92.15
20240119155001,109.15
20240119160001,52.67
20240119161001,43.3
20240119162001,29.66
20240119163001,17.25
20240119164001,7.44
20240119165001,10.41
20240224090001,58.93
20240224091001,58.78
20240224092001,46.26
20240224093001,42.04
20240224094001,19.23
20240224095001,29.54
20240224100001,34.85
20240224101001,46.35
20240224102001,38.28
20240224103001,35.34
20240224104001,26.34
20240224105001,30.25
20240224110001,35.88
20240224111001,46.06
20240224112001,47.36
20240224113001,45.96
20240224114001,47.7
20240224115001,57.25
20240224120001,32.7
20240224121001,29.02
20240224122001,36.36
20240224123001,25.94
20240224124001,26.59
20240224125001,31.33
20240224130001,47.24
20240224131001,19.35
20240224132001,16.23
20240224133001,20.49
20240224134001,23.35
20240224135001,35.2
20240224140001,30.95
20240224141001,19.97
20240224142001,11.16
20240224143001,7.87
20240224144001,7.67
20240224145001,6.44
20240224150001,1.21
20240224151001,4.17
20240224152001,1.64
20240224153001,0.0
20240224154001,0.0
20240224155001,0.1
20240224160001,1.63
20240224161001,0.0
20240224162001,0.0
20240224163001,0.0
20240224164001,0.0
20240224165001,0.0
20240226090001,25.88
20240226091001,35.66
20240226092001,47.24
